Id,Group,Weight,Weightmg
1,0,0.0767,7.67
2,0,0.08383,8.383
3,0,0.1012,10.12
4,0,0.1016,10.16
5,0,0.0956,9.56
6,0,0.0945,9.45
7,0,0.0965,9.65
8,0,0.1048,10.48
9,0,0.1014,10.14
10,0,0.0805,8.05
11,0,0.1027,10.27
12,0,0.0991,9.91
13,0,0.0955,9.55
14,0,0.0989,9.89
15,0,0.0915,9.15
16,0,0.111,11.1
17,0,0.1002,10.02
18,0,0.1103,11.03
19,0,0.1045,10.45
20,0,0.0852,8.52
21,0,0.0691,6.91
22,0,0.0845,8.45
23,0,0.071,7.1
24,0,0.095,9.5
25,0,0.0644,6.44
26,0,0.0674,6.74
27,0,0.1112,11.12
28,0,0.1027,10.27
29,0,0.0977,9.77
30,0,0.0677,6.77
31,0,0.0823,8.23
32,0,0.0906,9.06
33,0,0.1064,10.64
34,0,0.0798,7.98
35,0,0.1096,10.96
36,0,0.0781,7.81
37,0,0.0867,8.67
38,0,0.0963,9.63
39,0,0.0773,7.73
40,0,0.0906,9.06
41,0,0.0899,8.99
42,0,0.1058,10.58
43,0,0.0695,6.95
44,0,0.082,8.2
45,0,0.0768,7.68
46,0,0.0816,8.16
47,0,0.1011,10.11
48,0,0.0676,6.76
49,0,0.0771,7.71
50,0,0.0935,9.35
51,0,0.0819,8.19
52,0,0.0902,9.02
53,0,0.0939,9.39
54,0,0.0869,8.69
55,0,0.1074,10.74
56,0,0.0879,8.79
57,0,0.0913,9.13
58,0,0.1093,10.93
59,0,0.1184,11.84
60,0,0.1032,10.32
61,0,0.0853,8.53
62,0,0.0748,7.48
64,0,0.0988,9.88
65,0,0.0882,8.82
66,0,0.0963,9.63
67,0,0.0833,8.33
68,0,0.0933,9.33
69,0,0.079,7.9
70,0,0.0881,8.81
71,0,0.0813,8.13
72,0,0.0859,8.59
73,0,0.0927,9.27
74,0,0.0806,8.06
75,0,0.097,9.7
76,0,0.0909,9.09
77,0,0.0939,9.39
78,0,0.0753,7.53
79,0,0.0814,8.14
80,0,0.0793,7.93
81,0,0.1024,10.24
82,0,0.1049,10.49
83,0,0.1053,10.53
84,0,0.103,10.3
85,0,0.0732,7.32
86,0,0.0804,8.04
87,0,0.0977,9.77
88,0,0.0904,9.04
89,0,0.0881,8.81
90,0,0.1095,10.95
91,0,0.1017,10.17
92,0,0.1061,10.61
93,0,0.0986,9.86
94,0,0.0932,9.32
95,0,0.0794,7.94
96,0,0.0837,8.37
97,0,0.103,10.3
98,0,0.1099,10.99
99,0,0.0847,8.47
100,0,0.112,11.2
101,0,0.0626,6.26
102,0,0.0895,8.95
103,0,0.1083,10.83
104,0,0.0889,8.89
105,0,0.1103,11.03
106,0,0.0794,7.94
107,0,0.0993,9.93
108,0,0.0998,9.98
109,0,0.0803,8.03
110,0,0.0863,8.63
111,0,0.0973,9.73
112,0,0.0967,9.67
113,0,0.0878,8.78
114,0,0.0914,9.14
115,0,0.0853,8.53
116,0,0.0748,7.48
118,0,0.0988,9.88
119,0,0.0843,8.43
120,0,0.0875,8.75
121,0,0.0908,9.08
122,0,0.0814,8.14
123,0,0.088,8.8
124,0,0.0785,7.85
125,0,0.0917,9.17
126,0,0.095,9.5
127,0,0.1034,10.34
128,0,0.0823,8.23
129,0,0.1079,10.79
130,0,0.0775,7.75
131,0,0.0915,9.15
132,0,0.0881,8.81
133,0,0.0698,6.98
134,0,0.0756,7.56
135,0,0.0939,9.39
136,0,0.0922,9.22
137,0,0.0993,9.93
138,0,0.0881,8.81
139,0,0.0748,7.48
140,0,0.0925,9.25
141,0,0.0888,8.88
142,0,0.0912,9.12
143,0,0.0882,8.82
144,0,0.088,8.8
145,0,0.0785,7.85
146,0,0.0963,9.63
147,0,0.0833,8.33
148,0,0.0933,9.33
149,0,0.079,7.9
150,0,0.0881,8.81
151,0,0.0813,8.13
152,0,0.0859,8.59
153,0,0.0917,9.17
154,0,0.095,9.5
155,0,0.1034,10.34
156,0,0.0823,8.23
157,0,0.0927,9.27
158,0,0.0806,8.06
159,0,0.097,9.7
160,0,0.0909,9.09
161,0,0.0939,9.39
162,0,0.0753,7.53
163,0,0.0814,8.14
164,0,0.0793,7.93
165,0,0.1036,10.36
166,0,0.0918,9.18
167,0,0.0833,8.33
168,0,0.0794,7.94
169,0,0.0998,9.98
170,0,0.1024,10.24
171,0,0.1049,10.49
172,0,0.1053,10.53
173,0,0.103,10.3
174,0,0.0732,7.32
175,0,0.0804,8.04
176,0,0.0977,9.77
177,0,0.0904,9.04
178,0,0.0881,8.81
179,0,0.1095,10.95
180,0,0.1017,10.17
181,0,0.1061,10.61
182,0,0.0986,9.86
183,0,0.0932,9.32
184,0,0.0794,7.94
185,0,0.0837,8.37
186,0,0.103,10.3
187,0,0.1099,10.99
188,0,0.0847,8.47
189,0,0.112,11.2
190,0,0.0626,6.26
191,0,0.0895,8.95
192,0,0.1083,10.83
193,0,0.0889,8.89
194,0,0.1103,11.03
195,0,0.0794,7.94
196,0,0.0993,9.93
197,0,0.0998,9.98
198,0,0.0803,8.03
