Id,Group,Distance,Velocity
1,0,11.21932806,1.120811994
2,0,18.64561769,1.252234669
3,0,12.05915607,1.204710896
4,0,26.89469911,1.738080692
5,3,4.325309333,0.617284049
6,3,3.440947118,0.859377402
7,3,2.871254998,0.573677322
8,3,2.569201969,0.641658833
9,3,0.86452138,0.863657723
10,6,2.774025709,0.554250891
11,6,1.169375508,1.1682073
12,6,1.560359811,1.55880101
13,6,10.53529574,1.052477097
14,10,2.814169077,0.93711924
15,10,2.231119848,0.742963652
16,10,1.707806,0.853049972
17,10,2.251031642,0.844377621
